Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,3,154,7,Some Random Commen with Id 0
1,0,3,33,6,Some Random Commen with Id 1
2,1,0,52,0,Some Random Commen with Id 2
3,1,0,135,4,Some Random Commen with Id 3
4,1,0,13,0,Some Random Commen with Id 4
5,1,0,155,8,Some Random Commen with Id 5
6,1,0,41,4,Some Random Commen with Id 6
7,1,0,194,0,Some Random Commen with Id 7
8,1,0,86,8,Some Random Commen with Id 8
9,3,2,172,2,Some Random Commen with Id 9
10,3,2,11,6,Some Random Commen with Id 10
11,3,2,101,5,Some Random Commen with Id 11
12,3,2,109,4,Some Random Commen with Id 12
13,4,7,122,5,Some Random Commen with Id 13
14,4,7,169,6,Some Random Commen with Id 14
15,4,7,107,9,Some Random Commen with Id 15
16,4,7,151,5,Some Random Commen with Id 16
17,4,7,93,2,Some Random Commen with Id 17
18,4,7,163,1,Some Random Commen with Id 18
19,4,7,31,8,Some Random Commen with Id 19
20,5,1,48,5,Some Random Commen with Id 20
21,5,1,49,5,Some Random Commen with Id 21
22,6,5,25,5,Some Random Commen with Id 22
23,6,5,192,3,Some Random Commen with Id 23
24,6,5,52,7,Some Random Commen with Id 24
25,6,5,60,5,Some Random Commen with Id 25
26,6,5,0,1,Some Random Commen with Id 26
27,6,5,37,0,Some Random Commen with Id 27
28,6,5,46,9,Some Random Commen with Id 28
29,6,5,116,6,Some Random Commen with Id 29
30,6,5,2,3,Some Random Commen with Id 30
31,7,0,146,4,Some Random Commen with Id 31
32,7,0,128,7,Some Random Commen with Id 32
33,8,3,125,0,Some Random Commen with Id 33
34,9,0,149,1,Some Random Commen with Id 34
35,9,0,98,2,Some Random Commen with Id 35
36,9,0,138,7,Some Random Commen with Id 36
37,10,9,81,6,Some Random Commen with Id 37
38,10,9,177,9,Some Random Commen with Id 38
39,11,3,163,4,Some Random Commen with Id 39
40,12,6,114,0,Some Random Commen with Id 40
41,12,6,26,9,Some Random Commen with Id 41
42,12,6,2,3,Some Random Commen with Id 42
43,12,6,145,7,Some Random Commen with Id 43
44,12,6,99,0,Some Random Commen with Id 44
45,12,6,58,8,Some Random Commen with Id 45
46,12,6,118,1,Some Random Commen with Id 46
47,12,6,5,1,Some Random Commen with Id 47
48,12,6,195,2,Some Random Commen with Id 48
49,13,9,175,4,Some Random Commen with Id 49
50,13,9,79,2,Some Random Commen with Id 50
51,13,9,66,4,Some Random Commen with Id 51
52,13,9,8,2,Some Random Commen with Id 52
53,13,9,30,0,Some Random Commen with Id 53
54,13,9,22,7,Some Random Commen with Id 54
55,13,9,68,7,Some Random Commen with Id 55
56,15,5,30,2,Some Random Commen with Id 56
57,15,5,78,7,Some Random Commen with Id 57
58,15,5,164,7,Some Random Commen with Id 58
59,15,5,85,4,Some Random Commen with Id 59
60,15,5,122,9,Some Random Commen with Id 60
61,15,5,175,5,Some Random Commen with Id 61
62,15,5,29,2,Some Random Commen with Id 62
63,15,5,114,6,Some Random Commen with Id 63
64,16,9,40,3,Some Random Commen with Id 64
65,16,9,121,8,Some Random Commen with Id 65
66,16,9,115,8,Some Random Commen with Id 66
67,16,9,183,4,Some Random Commen with Id 67
68,16,9,116,6,Some Random Commen with Id 68
69,16,9,19,1,Some Random Commen with Id 69
70,16,9,115,6,Some Random Commen with Id 70
71,16,9,34,3,Some Random Commen with Id 71
72,16,9,168,8,Some Random Commen with Id 72
73,17,5,136,0,Some Random Commen with Id 73
74,17,5,160,3,Some Random Commen with Id 74
75,17,5,51,3,Some Random Commen with Id 75
76,17,5,166,3,Some Random Commen with Id 76
77,17,5,74,6,Some Random Commen with Id 77
78,17,5,152,6,Some Random Commen with Id 78
79,17,5,191,4,Some Random Commen with Id 79
80,18,8,188,8,Some Random Commen with Id 80
81,18,8,10,0,Some Random Commen with Id 81
82,18,8,133,3,Some Random Commen with Id 82
